,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.7710775,-0.097922415,-0.72141075,0.28347546,0.119795635,-0.011718124,-0.57822114,-0.28384584,-0.62574166,0.9274495,-1.3016282,-0.28558376,-0.45661718,0.56045747,-0.80630255,-0.012261838,0.67316073,-0.8617634,0.28506333,0.5950901,0.23159723,0.3072359,0.23228174,0.15199833,0.117530376,-1.0073991,0.66223013,0.3519206,0.84640384,-0.4588834,0.0875954,-0.9090153,-1.6699243,0.38683772,0.052823797,0.6834354,-0.26267692,0.01759559,0.7147532,-0.63705397,0.9472805,-0.08073908,-1.0201086,0.14389923,0.37696534,0.41672903,-0.1542564,0.30859405,0.22859742,-0.22400178,-0.10415536,-0.33857065,-0.8604661,-0.85893095,-0.43262345,-0.7127464,0.19309294,-0.08397947,0.49079067,0.09933478,0.15113688,1.3072838,-0.29669112,0.05948554
1,-0.847054,0.078210175,-0.43991935,0.36692458,0.09231052,-0.12849468,-0.6960534,-0.44775394,-0.7391037,0.62158173,-1.2720141,-0.24617603,-0.6777111,0.4829943,-0.71335053,-0.14421755,0.7670153,-0.8132878,0.20395619,0.79602015,0.34859133,0.30984694,0.046233237,-0.1628991,0.1375638,-1.1367154,0.6903088,0.31570905,0.8075687,-0.38515565,-0.11165708,-0.89861614,-1.7227076,0.5601479,-0.10566983,0.92137563,-0.45401645,0.08574429,0.8771314,-0.63324964,1.0085051,-0.3967332,-1.1044598,0.15798503,0.48634505,0.7594348,-0.13663685,0.25330445,0.10212429,-0.09920624,0.051200822,-0.4686255,-0.8488919,-0.8339961,-0.80596876,-1.0378028,0.32761562,-0.09551947,0.42398337,-0.033575207,0.1099436,1.5687982,-0.44200897,0.11530632
2,-0.83308303,-0.05077052,-0.48520595,0.28152105,-0.023721293,-0.031685382,-0.62733334,-0.37946808,-0.5589911,0.8531904,-1.2323439,-0.35332736,-0.6933353,0.4803489,-0.8468541,-0.049309373,0.7227591,-0.6441957,0.14568374,0.76966685,0.30096003,0.32853493,0.1957443,0.034993522,0.08578828,-1.006175,0.63382185,0.35885203,0.8891574,-0.3623785,-0.21252477,-1.0131893,-1.8739607,0.5784661,-0.027548797,0.92128456,-0.34801733,0.14462978,0.77714205,-0.5423348,1.0623919,-0.3523479,-0.9907097,0.30299816,0.544754,0.7077184,-0.26849362,0.1906857,0.06748062,-0.084935844,0.05830604,-0.38517147,-0.87254894,-0.74801344,-0.7162081,-0.9458717,0.21187517,-0.0043246746,0.44358143,-0.01736942,0.15809244,1.3866016,-0.4505205,0.14460662
3,-0.6700711,-0.1615349,-0.6053026,0.1866498,0.12581533,0.06254625,-0.461437,-0.32158166,-0.6130519,0.85211885,-1.1680415,-0.31702775,-0.48606575,0.5701797,-0.8599982,-0.07856017,0.7036741,-0.87017703,0.3001932,0.6754441,0.2912495,0.23046227,0.15725148,0.058801696,0.18799713,-1.0190024,0.7081349,0.37619156,0.92800367,-0.47092745,-0.024763227,-0.7382446,-1.7128838,0.23829693,0.15307489,0.7564254,-0.22160435,-0.008397549,0.71901673,-0.727044,0.9484273,-0.08841592,-1.0684452,0.0693306,0.44432673,0.40208358,-0.17394398,0.23574054,0.19501941,-0.25769293,-0.0020106435,-0.3847202,-0.871368,-0.8069337,-0.5160857,-0.60899115,0.2649749,-0.21702062,0.4926928,-0.076474994,0.24661799,1.2843874,-0.20203409,-0.05895126
4,-0.7172319,0.041980207,-0.44634834,0.34344178,0.11862117,0.03317547,-0.46432912,-0.33839267,-0.2638467,0.7311893,-1.1588392,-0.3745129,-0.47992814,0.6005583,-0.8265557,-0.18855956,0.88744724,-0.98437726,0.16282767,0.7939726,0.17642224,0.36849552,0.09907609,0.019205496,0.10162613,-0.94431067,0.78859544,0.24402411,0.9712642,-0.3400808,-0.12933427,-1.0396514,-1.7303063,0.3640726,0.24434444,0.78377616,-0.34984112,0.043061912,0.9321331,-0.6327571,1.0063937,-0.21279752,-0.9698896,0.1865364,0.50089395,0.46844575,-0.16011491,0.0039144754,0.33314216,-0.25651824,-0.08375254,-0.2622223,-0.90440404,-0.72917706,-0.56695616,-0.8038645,0.22431195,-0.36576945,0.44732836,-0.13102826,0.128425,1.2512829,-0.16015135,-0.006692454
5,-0.8139893,0.114748,-0.4316574,0.2259664,-0.13331236,-0.20798185,-0.6139902,-0.3786651,-0.527652,0.7420442,-1.1704824,-0.30820456,-0.49927986,0.32819414,-0.65989465,-0.20501713,0.69132453,-0.93316007,0.4130715,0.83822155,0.3561473,0.15811503,0.14206058,-0.077094406,0.13890767,-1.0284219,0.67108095,0.5643266,0.7851895,-0.34735185,0.015137374,-0.7989405,-1.7290646,0.06447682,0.015140377,0.90687096,-0.30288458,0.21898004,0.8167194,-0.611044,1.0540682,-0.28878766,-1.1538869,0.07748732,0.31986487,0.6009822,-0.21311158,0.13488816,0.17497416,-0.19940749,-0.0031115115,-0.37226397,-0.90162337,-0.8249295,-0.49159333,-0.65046483,0.35881054,-0.24368154,0.47979838,-0.092641965,0.21430798,1.4020239,-0.2616381,0.088500515
6,-0.64182043,0.16497236,-0.55399024,0.3521669,0.09502156,-0.26176867,-0.6560324,-0.4793285,-0.54023075,0.2924279,-0.97042596,-0.7297478,-0.798767,0.3983927,-1.0718985,-0.3370082,0.87044656,-0.93656826,0.34716988,0.8343386,0.45649078,0.29372874,0.17845166,-0.028113306,0.0005662143,-1.3087031,0.63111746,0.60572404,0.5359824,-0.10236396,-0.31453073,-0.96120894,-1.7079461,0.51067996,-0.033106573,1.311461,-0.6947157,0.23199265,0.88503456,-0.29283413,0.7205852,-0.41608697,-1.250614,0.2825477,0.64368916,1.1380161,-0.06217277,0.20526518,0.033011265,-0.23645315,0.026411653,-0.41052845,-0.7299371,-0.58152187,-0.93490803,-0.98566186,0.33751607,-0.041291982,0.60223037,-0.27921733,0.5698715,1.4789822,-0.6217687,0.32418245
7,-0.8080513,-0.027754575,-0.5172938,0.35378087,0.1865581,-0.08107534,-0.5822652,-0.36002484,-0.6475998,0.8972518,-1.3006586,-0.28573805,-0.49027592,0.49925092,-0.812073,-0.12149324,0.71675086,-0.94666415,0.28005528,0.69123924,0.31673676,0.355324,0.22662544,0.17263629,0.08494817,-1.049564,0.68169004,0.3370019,0.8370948,-0.4742682,0.08309537,-0.81812537,-1.5590546,0.30872416,0.09673397,0.7314655,-0.27973807,0.06321332,0.7707585,-0.5024633,0.91656566,-0.18323675,-1.0491515,0.10468954,0.3379354,0.4627542,-0.21142296,0.23274289,0.2753315,-0.21894652,-0.023153245,-0.29913265,-0.91621214,-0.87718755,-0.4379205,-0.6212397,0.3289356,-0.12628739,0.53338623,-0.04661727,0.077953786,1.4108865,-0.27045012,0.036352843
8,-0.78449976,0.12512052,-0.25142038,0.28857493,0.21558768,-0.09600827,-0.54099566,-0.5408566,-0.5546465,0.7460789,-1.0313973,-0.3845976,-0.5649345,0.5844447,-0.91017056,-0.2080631,0.9016785,-0.9082333,0.39615223,0.6236027,0.16514333,0.39414212,0.13140118,-0.044499695,0.17431128,-0.9939991,0.6507515,0.26465392,0.9126371,-0.18874413,-0.17448539,-1.1040274,-1.6916039,0.5619465,-0.049210124,0.86868626,-0.3895469,0.0643664,0.6934851,-0.7001134,0.9066634,-0.42060995,-1.0977933,0.054969788,0.8598519,0.90126276,-0.02960056,0.27361658,0.28231356,-0.12784153,0.1248347,-0.49012825,-0.89517105,-0.81828564,-0.91734123,-1.1200473,0.16701064,-0.030882046,0.18428177,-0.3096106,0.16422477,1.408608,-0.21085666,0.22042507
9,-0.6470556,-0.065813005,-0.5397564,0.15046158,0.19380528,-0.010282069,-0.5980508,-0.4975922,-0.6765738,0.5531995,-0.9523259,-0.5691117,-0.7997666,0.6253067,-0.64073604,-0.2485799,0.7380108,-0.7769002,0.34269542,0.5354087,0.30074996,0.34081256,0.09283894,-0.0056325346,0.26473093,-1.1236085,0.63089085,0.3654921,0.7459196,-0.40230474,-0.33788684,-1.082565,-1.8574579,0.57172316,-0.14883979,0.82900536,-0.38420808,0.02276671,0.80741,-0.82748103,0.97727084,-0.44558287,-1.0915968,0.008486509,0.5499329,0.793428,-0.38095406,0.27399376,-0.21512577,0.043721497,0.04152128,-0.3120119,-0.94385195,-0.798741,-0.8419988,-1.1863246,0.18958037,0.18236911,0.45356554,-0.18767437,0.12511964,1.4242607,-0.39205164,0.29735368
