,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.5810418,-1.4255192,-1.1548095,-0.7001301,0.3632419,-0.7680314,0.41433585,-0.76911235,-0.2632221,0.6966014,-0.7398473,-0.14445895,1.5263602,0.075066,0.050520957,-0.42570856,0.104474545,0.4682013,1.433467,0.5463142,0.24604398,-0.9774189,-0.7769585,-0.7217691,1.048767,1.2131413,0.485983,-0.44647712,-0.06210816,-0.4204266,1.5194725,-0.2945109,0.9509473,-0.6415754,-0.6968371,0.37307546,-0.33909416,-0.1575222,-0.6715467,0.31438205,0.26270652,-0.077218056,-1.1612743,1.0379491,2.7204204,1.2975488,-1.4800713,0.8873918,1.3381703,-0.26119965,-0.42370385,-0.67197716,-0.6938493,0.016097903,0.83701056,-0.9184809,1.1220903,-0.55250716,-1.7118561,2.4568434,-0.7732429,1.2026283,-0.294956,0.007028252
1,-0.32574886,-1.7526962,-0.20320183,-1.412206,0.5710169,-0.49227536,0.63952374,-1.5818992,-0.593705,1.2490056,-0.5086932,0.12327665,1.5278494,0.16465089,-0.14359751,-1.0046599,0.47537887,0.1094138,1.1690497,0.74716294,0.4563231,-0.86062586,-0.12573668,-1.0330366,1.21504,1.1659799,0.017320842,-0.13071275,0.45845997,-1.068215,1.9412612,-1.4588206,0.6549082,-1.0876672,-0.66840816,0.34634206,0.114562124,0.32083672,-1.0697715,0.95843875,-0.30938604,0.13315457,-1.5997547,1.8624144,2.2769613,1.2516263,-1.5040731,0.5792281,1.6183302,0.34288228,-0.9926602,0.10451028,-0.84595054,-0.41441637,0.1369431,-0.7766672,1.0385514,-1.8989761,-1.9557579,2.0809567,-0.5024313,1.2987578,-0.85125864,-0.50813794
2,0.110623896,-1.7704972,-0.6359917,-1.1434615,0.7704772,-0.44930276,0.32360822,-1.7911813,-0.53275234,0.6440933,-1.0542487,-0.07566759,1.416932,-0.24267685,-0.38632762,-0.5368558,0.70009714,0.09154856,1.4207776,0.46027017,0.49539348,-1.5306222,-0.24778834,-1.0214117,1.4655352,1.5252147,0.37310222,-0.41380918,0.58021605,-0.5484653,1.9067166,-0.710874,0.5898654,-1.0235844,-0.2824114,1.1479392,0.60687685,0.27762145,-1.2872999,0.75354236,0.2764148,0.7177293,-1.999097,1.6075647,2.037043,1.380309,-1.8212304,0.6557793,1.8366604,-0.5150746,-1.0113927,0.013911456,-1.0480524,0.13208461,0.4945827,-0.7166139,0.41428444,-1.759374,-1.7596989,2.0273385,0.33688432,1.6620584,-0.86674964,-0.19333988
3,-0.23283824,-1.1760976,-0.99429303,-0.5061033,0.41760647,-1.4645947,0.20282441,-1.3708199,0.30744368,0.50207675,-0.6317029,-0.09291831,1.0485542,-0.058415607,-0.52755,0.33310744,0.52400905,0.39411694,1.4094417,0.41854528,0.35689676,-0.7564914,-0.53236675,0.08060542,0.9490807,1.4094522,0.27406535,-0.3588078,0.62507606,-0.54055834,2.0725284,-0.4948002,0.8986476,-0.87305427,-0.76378906,0.76795024,0.20015752,0.56093884,-0.39951226,0.37787277,0.06358792,0.25804502,-1.4403491,1.099157,2.0685048,1.7104832,-1.881516,0.16055983,1.484671,-0.7229719,-0.28842154,0.05725658,-0.8608283,-0.011687636,1.2580891,-1.0445356,1.1274037,-0.62829494,-1.3918965,1.5444152,-0.2214824,1.5055987,-0.53957164,0.04334733
4,0.63535345,-1.7071292,-0.21073306,-0.3927574,0.25901216,-0.4639326,0.643692,-1.5905732,-0.33630395,0.48161596,0.12889697,-0.46476698,1.0223151,-0.28910846,0.021439344,-0.5270633,0.43056452,-0.19165653,2.0457811,0.7563446,0.12331121,-1.0726488,-0.06905186,-1.0191929,0.34689683,1.6030544,0.46279672,-0.7468572,-0.17301154,-0.26603505,1.8735979,-0.8779131,0.92408246,-1.4113541,-0.7790123,0.30972305,0.14232512,0.3106839,-0.9657055,0.7505124,-0.03975635,0.6286376,-1.7305485,1.2876083,2.6005409,1.358103,-1.1106577,0.3162287,1.6079493,-0.042579114,-0.5927039,-0.29950184,-1.078474,-0.24196947,1.2531765,-0.4922756,0.699537,-0.92103577,-1.6754243,1.8164258,-0.4833407,1.4574757,-0.78577054,0.18493703
5,-0.059134603,-1.7868931,-0.25415337,-1.1616001,0.17010048,-0.9401363,0.6776732,-1.5075691,0.09366636,0.42876998,-0.382405,0.48803487,1.975059,-0.29188663,-0.035237268,-0.72787964,0.42711616,0.20851916,2.0008156,0.5850651,0.1372514,-0.636925,-0.5095463,-0.8191792,0.4534818,1.1904764,0.3438584,0.17572147,0.49186572,0.10957456,2.2871137,-0.719047,0.5293021,-0.68422765,-0.08181131,0.35127592,0.3877865,0.3146283,-0.4290535,1.0153363,0.20759934,0.04152584,-1.536447,1.3819661,1.7176192,1.2661406,-1.176978,0.83850026,1.0871569,-0.6511102,-0.28734708,-0.12520295,-0.51006246,0.45964986,1.004144,-1.2383965,1.0057559,-1.5177401,-1.412485,2.157062,-0.16845936,1.6320466,-1.0287945,0.1991369
6,0.006337464,-1.52018,-0.8679717,-1.2725712,0.7215835,-0.5836553,0.50842106,-1.0006768,-0.29201347,0.4709647,-0.5002092,0.12324056,1.0239513,-0.37910828,-0.29149926,-0.47105774,0.623538,-0.015981287,1.1109158,0.27254063,0.7813144,-0.6652501,-0.5156255,-0.6140953,0.9916184,1.420115,0.013860166,-0.17435369,0.52905035,-0.7284429,1.9871731,-0.35727564,0.47101775,-1.08828,-0.07362151,0.48950857,0.6833142,0.44839066,-1.5179716,0.915979,-0.43031722,0.14442426,-2.3369632,2.1199677,2.112706,0.85052896,-1.598861,0.35083222,1.2603865,-1.633194,-0.79647815,-0.0022357106,-1.0829673,0.07639757,0.38028613,-0.3116123,0.8508026,-1.3807609,-1.5679071,2.241601,0.21941397,1.1274498,-1.0320218,-0.17725283
7,0.81444716,-0.76613843,-0.262981,-0.8731816,0.51442844,-1.2585034,-0.1364249,-1.0559152,0.06293136,0.9522861,-0.85177046,0.30581245,1.1969639,0.18864334,-0.05476059,-0.4644834,0.71939635,-0.120621085,1.1821514,1.0246315,0.103835076,-0.6621054,-0.39148784,-0.53659594,0.73572874,1.3151293,0.7931877,0.045117825,0.00817126,-0.09614903,2.6555169,-1.0843993,0.7427197,-0.9508132,0.067423105,1.2182937,0.5084638,0.42611012,-0.88267946,0.6520033,-0.039179653,0.35043764,-1.7155668,1.9003493,2.519989,1.1828759,-1.9014034,0.60914004,1.3006089,-0.8380273,-0.4908535,-0.17376623,-0.7407548,0.276485,1.0277058,-0.972831,1.1684529,-0.8312469,-2.157631,1.9911457,-1.1180459,1.6823572,-1.2656665,0.03466346
8,0.5985997,-1.7948674,-0.22194284,-1.5996288,-0.013769932,-0.4400852,0.52938014,-1.6193085,-0.30570015,1.0295646,0.18159203,0.23434356,1.675982,0.0986464,-0.5588795,-1.1064906,0.70864105,-0.28295332,2.4191668,0.78004575,-0.079467505,-1.2515669,-0.041012585,-0.3916801,0.82625806,1.6897674,0.5064115,-0.8291369,0.22183126,-1.0216423,2.116371,-0.69944334,0.38986456,-1.1256057,-0.34935272,0.19173992,0.1046298,0.37130088,-1.0706159,1.7233653,-0.2545219,0.66198653,-1.5648036,1.7526603,2.144317,1.4684421,-1.5177549,0.5450195,1.4047847,-0.51560163,-0.5391196,-0.062754855,-0.634438,-0.074928045,0.5789286,-0.94944197,1.1728024,-1.9006927,-1.880124,1.569349,-0.21131568,0.9273996,-0.5956013,-0.12602517
9,0.01397413,-1.2118857,-0.1726982,-1.1212627,1.0506827,-0.98882425,-0.22733468,-1.4491565,0.58115053,0.7446095,-0.3583682,0.9374897,1.7904203,0.5815615,-0.36946595,-0.45219418,0.63646466,-0.18016657,1.6836709,-0.23394018,0.47324002,-0.48045024,-0.8363848,-0.5356426,1.355228,2.1535892,0.055707037,-0.008115739,0.51047987,-0.55732846,2.3890717,-0.69823647,0.89928913,-1.1200812,-0.07888538,0.32842118,0.3745367,0.85491216,0.28422797,1.3774912,0.5276406,0.4029988,-1.2162478,1.0574473,2.004061,1.5073568,-1.6667655,1.2862501,1.3847449,-0.02810222,-0.20919076,-0.42979178,-1.3733442,-0.53536236,1.1379106,-1.5425193,0.7277788,-1.4276891,-1.0058364,2.429695,-0.29041314,1.4287882,-0.051181994,0.109367535
