,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.92608404,-0.28501534,2.850467,0.63079333,-5.254074,0.5693829,2.6224437,3.611814,2.4377627,-2.254229,3.3982775,-1.7985874,-3.5748584,-0.3351426,1.4084125,3.3521872,0.13672403,2.2487848,2.3551102,-1.0488749,-2.3764923,-0.47188807,4.3993626,3.7053769,-2.313404,1.2468042,-2.0753627,3.1151433,4.0749907,-4.9508696,-1.781031,-2.2486753,-1.6160979,3.1004546,-3.8141203,4.6070075,6.921543,2.6946735,0.0793699,2.9907415,3.6135685,-0.3645894,-2.4727147,0.9413719,1.7706528,-0.51197016,-0.5602721,-2.8536134,-0.83754706,0.12597728,-2.0593925,0.0034362078,1.6354003,3.5508883,-0.06608784,5.300607,-1.9116997,2.3408594,4.09621,-0.9657023,1.8085564,6.44532,-0.6679883,-1.9363629
1,-1.2219839,-1.1693763,1.378118,0.67051095,-5.9547396,-1.4918044,2.6524138,2.0974524,1.5858935,-2.6227272,-1.2191412,-2.5696683,1.4971642,0.6413609,-0.5695237,2.0287197,1.3810062,-0.2632072,-0.00021243095,-3.8128626,-6.44287,-3.7768486,-0.9897672,4.4923544,1.7968974,0.81798446,-2.5951934,-0.030693293,-0.2902798,-1.8854103,2.5537333,-1.8865631,-3.089315,-0.6276687,-0.8917141,5.616227,4.2505603,-2.0779274,-0.6108351,4.6720076,2.6423817,3.8811657,1.9258047,1.3241844,-1.4137797,-0.27719057,-0.9585806,0.6008749,0.27926207,-3.32968,0.06737238,-1.7344688,1.4084566,2.0519323,-1.1739603,2.6322637,-0.040843725,-0.6223844,1.797276,0.7904273,-2.0957909,1.251903,2.2219858,0.1940206
2,1.1674271,-3.038454,-1.6748483,2.212476,-3.4803083,0.069539785,2.9938703,3.4569154,2.041522,1.1645079,-0.27395523,-0.064600706,-1.4510833,5.699445,-0.64461374,4.786246,-1.6120062,-0.41355562,-0.95766854,-2.3673964,-5.160521,-3.53015,5.2504573,4.9466376,1.0563685,2.6471694,-2.9313195,0.75521225,4.820907,-6.922841,-1.4645354,-2.947266,-3.6013308,1.7944281,-2.0835705,5.0210924,1.2603339,-1.9652888,0.39176106,3.0939317,3.7266018,-0.37500328,-0.06344199,0.4553733,-2.1472082,1.4042306,1.321373,3.2778652,-1.7981858,-0.18747461,-1.8258507,-0.2720437,7.0889463,5.4632196,-1.9445497,3.3323298,-0.83362705,2.2034378,-0.59457964,1.5516868,0.9124895,1.3733221,2.434711,-4.226677
3,-0.10257769,-2.5120287,-1.1962336,4.261468,-5.754882,-1.0179882,-0.64842707,2.2318912,3.9835882,2.6652658,-2.289496,2.3699465,0.23383886,2.97668,-2.0371947,5.7853794,-0.82345754,-0.5098442,3.7567213,-2.3977795,-2.0499675,-0.72678745,3.659275,4.2599525,2.3721015,-3.0937128,-1.5807977,2.4242923,-0.97354364,-6.0608425,-2.5248723,-0.6988939,-4.4146595,4.530802,2.3560977,2.1499352,2.9199004,-4.7704277,1.615206,7.763488,-0.17611384,0.6628002,-0.6896465,-3.9438999,0.83403903,0.7374418,3.3337553,4.277134,0.5327115,-2.6619403,0.41887045,-0.939484,2.3084192,2.8495703,0.55874825,1.2996321,3.5020266,2.593706,4.2857485,1.5552609,-0.090770006,2.3268151,3.04296,0.15957677
4,-0.29368246,0.5763561,3.5310245,1.0130911,-2.0452433,-1.9712954,2.3692346,1.4387857,-1.355727,-0.34461588,-2.5462694,1.1754012,-0.3011373,4.150697,-1.6211805,4.758218,0.022063851,2.5244157,-2.3462813,0.43358445,-2.509646,-2.06785,2.106635,2.1490698,0.91497266,3.3579164,-3.7064779,-1.4059693,-0.28999817,-5.0136766,-3.2835011,-0.26401114,-1.4608535,4.6276045,-3.249275,4.6666737,2.019865,-1.0567319,-3.9062274,0.26277983,0.82833695,2.4890597,-0.11533952,-2.0819125,-2.2258036,-2.1980004,0.45744637,-1.6458952,0.6056618,-2.1805575,-1.3821448,-0.028553277,7.3614902,3.8434947,-2.3002648,4.733731,0.4264579,0.15894672,1.0391498,0.43885225,-2.3972545,4.2284617,0.40966302,-3.0374775
5,2.629889,-1.7333276,0.4787451,2.1120462,-6.2238073,-1.1088573,3.1304114,5.7309847,0.61473,-0.7754582,-1.0215151,1.6657118,-0.89044285,2.7393436,-0.31916344,4.8880024,-4.7333117,0.11272049,3.866601,-3.5192943,-3.9421988,-1.6546868,3.9577224,4.8011303,0.04786229,-3.2244422,-4.141304,-3.7025971,2.733482,-6.264932,1.7197429,2.0533202,0.19486177,6.864087,0.70897794,-1.6136189,6.905581,-3.8233018,1.4448074,6.56946,5.0196443,2.8703756,-0.77549505,-1.2965966,-1.3864272,0.124991894,-2.4373403,4.0968685,2.8572502,-0.571833,1.4969187,-3.4792156,5.0981064,-0.18793344,-1.6205442,7.3461194,-0.8557427,0.9855232,2.402671,-2.010184,-2.5913882,5.0664597,1.629007,-5.7395763
6,-3.8197832,-2.4106624,3.0375323,-2.8385372,1.9118793,1.0432212,1.190569,1.7965537,0.4086268,2.8529277,-4.3402123,1.2537118,-2.195058,5.1242676,1.9761682,2.9400742,-1.8205473,-1.5912784,1.0325665,-2.3387866,-5.2255974,0.69982564,2.3044453,2.6744757,0.23106313,0.033712268,-0.9193962,3.5089803,0.41697097,-6.5311384,-0.9837909,-1.9065478,-2.9048548,1.4860151,-3.6958299,1.108705,0.87486863,-2.1638298,0.5791624,2.7425234,0.1882739,0.24339777,1.955728,1.3310188,0.59679306,0.1650154,0.8722544,-0.551375,-1.0812373,-2.7361104,3.046508,-0.48900414,0.8576094,0.86076546,-1.7933226,-3.0089297,3.626317,1.1300247,3.0259216,-0.9075904,5.774336,2.9076817,2.5927796,-0.28091067
7,-3.3225608,-4.214913,4.2004237,0.763783,-7.844653,-3.1094587,5.6018686,-2.2645645,-1.0683483,-1.6794703,0.2919792,-4.0202503,3.720926,2.5816019,0.08773333,1.0580345,0.25123262,1.56655,-1.1733396,-0.46901363,-6.893802,-6.5045505,3.8136797,4.6149416,-1.4682484,-1.2046865,0.1639663,0.084190965,2.1407611,-4.005602,2.377838,-2.5015748,-6.038186,5.7915173,-6.7493906,2.5853496,6.165664,-1.1055545,2.984932,2.7521741,6.793358,2.6078854,-0.35729802,0.23982799,-4.0111003,0.30816662,-1.7002544,-7.4622827,2.0269237,-0.85356253,-1.8423448,1.6433092,6.7004237,-0.57231945,-1.2320597,4.4114375,-0.77236176,-0.23646456,3.8664567,-0.5048535,-2.2498183,1.4631603,0.4154325,-2.8512747
8,2.4238124,1.5048249,0.94212663,-2.0176091,-2.772964,-2.0354211,1.1664324,0.7800993,0.59096897,-0.77491736,-3.834416,0.96240985,0.65558136,0.5482523,-0.9778096,3.2193859,-2.1482625,1.2743987,1.3188648,-1.9607561,-0.24625576,-3.2041705,1.8775281,4.0309334,-0.74685055,-1.4138261,-3.3047302,-1.7265705,3.5855286,-1.8008368,1.1304393,-3.5218816,-1.1271672,1.1673684,-0.9361129,4.2887025,0.68648773,-1.5719045,2.015338,1.3599925,2.469406,1.1745759,0.1771594,3.1991768,-0.15616989,0.3098181,-1.3467867,1.7381021,1.2761492,-3.5864224,-0.35468596,-0.6099416,3.333477,3.725001,-2.2229362,4.0206184,-1.095314,2.0421717,0.7718239,2.8601575,0.6899948,3.819798,0.45465583,-1.5067582
9,0.31481364,-0.62646556,8.561942,2.8365388,-8.099195,1.1749611,-1.1111778,2.8571072,4.2305684,1.0243566,-3.901359,0.07134867,-1.2839487,4.0288944,-2.1078713,3.4644568,-0.3100456,0.6846838,3.0726922,-1.1576829,-2.498533,-5.983614,3.6063902,4.3514547,0.2685815,-0.35391724,-5.924244,1.5705292,4.72825,-2.4695034,-1.0596187,-0.63081515,-1.2124889,4.073767,2.154795,5.1076665,4.981373,-1.7156253,-3.590831,1.7213136,4.6319695,2.1373355,-1.1850704,0.2339611,1.021488,3.5123239,-0.6983919,-0.80860144,0.21717358,-1.6870933,-1.4246081,-1.6483814,3.878592,-2.1158876,-1.5698142,6.8772697,1.1734422,2.655026,2.3636723,3.313668,3.4454515,7.4944243,-0.4662013,0.0014281273
